price_id,product_id,product_name,product_statement_descriptor,product_tax_code,description,created_utc,amount,currency,interval,interval_count,usage_type,aggregate_usage,billing_scheme,trial_period_days,tax_behavior,gst_rate_metadata,includes_gst_metadata,original_price_id_metadata,tax_amount_metadata,money_metadata,usage_limit_for_sessions_metadata,usage_limit_for_appointments_metadata,maximum_auto_renews_metadata,free_trial_metadata,includes_on_demand_metadata,minimum_auto_renews_metadata,studios_metadata,tax_rate_percent_metadata,validity_unit_metadata,location_metadata,freeze_duration_total_metadata,no_of_sessions_metadata,freeze_attempts_metadata,validity_metadata,price_after_tax_metadata,is_intro_offer_metadata,tax_bracket_id_metadata,city_from_host_id_metadata,activate_on_first_use_metadata,number_of_events_metadata,price_type_metadata,paid_trial_amount_metadata,allow_first_membership_only_metadata,auto_renew_metadata,membership_id_metadata,featured_metadata,subscription_type_metadata,pre_tax_price_metadata,duration_unit_metadata,host_id_metadata,type_metadata,modified_at_metadata,counts_as_free_for_payroll_metadata,guest_combined_usage_limit_metadata,price_metadata,duration_metadata,combined_usage_limit_enabled_metadata,host_name_metadata,city_metadata,is_guest_pass_enabled_metadata,disabled_metadata,is_single_buy_metadata,free_trial_duration_in_days_metadata,membership_name_metadata,valid_for_metadata,created_at_metadata,session_count_metadata,order_number_metadata,momence_id_metadata
price_1SvY7NFDEp8YEMWaOJnLtepz,prod_TtKmvYRsTFSUc8,Barre 6 month Unlimited,,,Mumbai,2026-01-31 06:57,89775.00,inr,,,,,per_unit,,unspecified,5,true,,,,,,0,false,false,0,Kwality House & Supreme HQ,5%,days,Mumbai,180,999,6,180,89775,false,36758,Mumbai,true,,fixed-price,0,false,false,495703,false,absolute,85500,days,13752,subscription,2025-09-21T18:37:04.657Z,false,0,85500,180,false,,Mumbai,false,false,false,7,,180 days,2025-08-18T07:58:17.254Z,,,495703
price_1SvY7MFDEp8YEMWaNuKcQlmB,prod_TtKmd8BTHk2IVU,Strength Lab 3 months Unlimited,,,Mumbai,2026-01-31 06:57,16012.50,inr,,,,,per_unit,,unspecified,5,true,,,,,,0,false,false,0,Kwality House & Supreme HQ,5%,days,Mumbai,90,999,3,90,16013,false,36758,Mumbai,true,,fixed-price,0,false,false,495702,false,absolute,15250,days,13752,subscription,2025-09-21T18:36:55.491Z,false,0,15250,90,false,,Mumbai,false,false,false,7,,90 days,2025-08-18T07:56:20.919Z,,,495702
price_1SvY7LFDEp8YEMWa0Ft3cvnY,prod_TtKmZWrSCCNVd8,powerCycle 3 months Unlimited,,,Mumbai,2026-01-31 06:57,45675.00,inr,,,,,per_unit,,unspecified,5,true,,,,,,0,false,false,0,Kwality House & Supreme HQ,5%,days,Mumbai,90,999,3,90,45675,false,612,Mumbai,true,,fixed-price,0,false,false,495701,false,absolute,43500,days,13752,subscription,2025-08-18T08:11:37.626Z,false,0,43500,90,false,,Mumbai,false,false,false,7,,90 days,2025-08-18T07:55:53.914Z,,,495701
price_1SvY7LFDEp8YEMWa2fu6YVTQ,prod_TtKmljwGDLqMyk,Barre 3 months Unlimited,,,Mumbai,2026-01-31 06:57,45675.00,inr,,,,,per_unit,,unspecified,5,true,,,,,,0,false,false,0,Kwality House & Supreme HQ,5%,days,Mumbai,90,999,3,90,45675,false,36758,Mumbai,true,,fixed-price,0,false,false,495700,false,absolute,43500,days,13752,subscription,2025-09-21T18:36:45.892Z,false,0,43500,90,false,,Mumbai,false,false,false,7,,90 days,2025-08-18T07:54:36.022Z,,,495700
price_1SvY7KFDEp8YEMWaDS8buofw,prod_TtKm0vufRDCkd8,Strength Lab 1 month Unlimited,,,Mumbai,2026-01-31 06:57,16012.50,inr,,,,,per_unit,,unspecified,5,true,,,,,,0,false,false,0,Kwality House & Supreme HQ,5%,days,Mumbai,30,999,1,30,16013,false,36758,Mumbai,true,,fixed-price,0,false,false,495697,false,absolute,15250,days,13752,subscription,2025-09-21T18:36:03.055Z,false,0,15250,30,false,,Mumbai,false,false,false,7,,30 days,2025-08-18T07:28:10.298Z,,,495697
price_1SvY7JFDEp8YEMWaQY8ezqLT,prod_TtKmWOZSBVvode,powerCycle 1 month Unlimited,,,Mumbai,2026-01-31 06:57,16012.50,inr,,,,,per_unit,,unspecified,5,true,,,,,,0,false,false,0,Kwality House & Supreme HQ,5%,days,Mumbai,30,999,1,30,16013,false,36758,Mumbai,true,,fixed-price,0,false,false,495696,false,absolute,15250,days,13752,subscription,2025-09-21T18:35:51.735Z,false,0,15250,30,false,,Mumbai,false,false,false,7,,30 days,2025-08-18T07:26:43.415Z,,,495696
price_1SvY7JFDEp8YEMWa87sihXTv,prod_TtKm0wAOn5CH3Q,Barre 1 month Unlimited,,,Mumbai,2026-01-31 06:57,16012.50,inr,,,,,per_unit,,unspecified,5,true,,,,,,0,false,false,0,Kwality House & Supreme HQ,5%,days,Mumbai,30,999,1,30,16013,false,36758,Mumbai,true,,fixed-price,0,false,false,495695,false,absolute,15250,days,13752,subscription,2025-09-21T18:35:41.481Z,false,0,15250,30,false,,Mumbai,false,false,false,7,,30 days,2025-08-18T07:25:48.566Z,,,495695
price_1SvY7IFDEp8YEMWay3FP5pId,prod_TtKmv6UIIvE0EB,Virtual Privates - Anisha x 10,,,Mumbai,2026-01-31 06:57,56700.00,inr,,,,,per_unit,,unspecified,5,true,,,,,,,,,,Kwality House & Supreme HQ,5%,days,Mumbai,500,10,17,500,56700,false,36758,Mumbai,true,10,fixed-price,0,false,false,467481,false,absolute,54000,days,13752,package-events,2025-09-22T03:47:21.800Z,false,0,54000,500,false,,Mumbai,false,false,false,7,,500 days,2025-07-03T10:25:15.636Z,10,,467481
price_1SvY7HFDEp8YEMWauCmsbL4e,prod_TtKmX1VhEEOF5V,Virtual Private - Anisha,,,Mumbai,2026-01-31 06:57,5670.00,inr,,,,,per_unit,,unspecified,5,true,,,,,,,,,,Kwality House & Supreme HQ,5%,days,Mumbai,7,1,0,7,5670,false,36758,Mumbai,true,1,fixed-price,0,false,false,467480,false,absolute,5400,days,13752,package-events,2025-09-22T03:47:10.396Z,false,0,5400,7,false,,Mumbai,false,false,false,7,,7 days,2025-07-03T10:23:11.998Z,1,,467480
price_1SvY7HFDEp8YEMWaEp6uyZvN,prod_TtKmp5s74lTAGC,Studio Privates - Anisha x 10,,,Mumbai,2026-01-31 06:57,62475.00,inr,,,,,per_unit,,unspecified,5,true,,,,,,,,,,Kwality House & Supreme HQ,5%,days,Mumbai,70,10,2,70,62475,false,36758,Mumbai,true,10,fixed-price,0,false,false,423239,false,absolute,59500,days,13752,package-events,2025-09-22T03:46:45.213Z,false,0,59500,70,false,,Mumbai,false,false,false,7,,70 days,2025-05-08T11:10:38.386Z,10,,423239
